"taxon.name","taxon.rank","identifications_count","created_at","observed_on","longitude","latitude","positional_accuracy","user.login","user.id","user.name","user.observations_count","user.identifications_count","user.activity_count","license_code","num_identification_agreements","uri","stateProvince","season"
"Carpobrotus edulis","species",2,"2022-02-06T19:19:42-03:00","2022-02-06",-55.324917594,-34.8024311336,4,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",2,"https://www.inaturalist.org/observations/106270982","Maldonado","verano"
"Carpobrotus edulis","species",3,"2022-01-20T19:01:02-03:00","2022-01-20",-55.15261415,-34.88052441,3,"claudiasimonster",2506430,"Claudia",97,0,97,"cc-by-nc",3,"https://www.inaturalist.org/observations/105282457","Maldonado","verano"
"Carpobrotus edulis","species",2,"2022-01-12T12:09:57-03:00","2022-01-11",-55.26575,-34.8908666667,200,"flo_grattarola",736016,"Florencia Grattarola",3837,6199,10037,"cc0",2,"https://www.inaturalist.org/observations/104813471","Maldonado","verano"
"Carpobrotus edulis","species",2,"2022-01-10T01:34:22-03:00","2022-01-09",-55.3777716667,-34.8013583333,4,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",2,"https://www.inaturalist.org/observations/104689416","Maldonado","verano"
"Carpobrotus edulis","species",2,"2022-01-08T18:10:43-03:00","2022-01-08",-55.5398369674,-34.7909771372,7,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",2,"https://www.inaturalist.org/observations/104598141","Canelones","verano"
"Carpobrotus edulis","species",3,"2021-12-29T15:03:38-03:00","2021-12-29",-56.0500111667,-34.8889783333,4,"sarah1398",1786671,"Sarah Glidden",273,2,275,,3,"https://www.inaturalist.org/observations/103899006","Montevideo","primavera"
"Carpobrotus edulis","species",2,"2021-12-28T10:58:49-03:00","2021-12-26",-53.7774738997,-34.4039804,,"angelotenfennicoladeli",331307,"Angelo Tenfen Nicoladeli",162,22,184,,2,"https://www.inaturalist.org/observations/103819528","Rocha","primavera"
"Carpobrotus edulis","species",2,"2021-12-28T00:57:06-03:00","2021-12-27",-55.0633839722,-34.8799109722,,"rafatosi",1318865,"Rafael Tosi",1300,5737,7037,"cc-by",2,"https://www.inaturalist.org/observations/103799453","Maldonado","primavera"
"Carpobrotus edulis","species",3,"2021-12-18T07:40:18-03:00","2021-12-17",-55.7087533333,-34.7560883333,32,"weba69",2988066,,1795,0,1795,"cc-by-nc",3,"https://www.inaturalist.org/observations/103243256","Canelones","primavera"
"Carpobrotus edulis","species",2,"2021-11-22T19:15:36-03:00","2021-11-22",-55.708731867,-34.7667265126,650,"julian_tocce",3647712,"Julián Rolando Tocce",1723,3212,4935,"cc-by-nc",2,"https://www.inaturalist.org/observations/101727836","Canelones","primavera"
"Carpobrotus edulis","species",2,"2021-10-26T18:50:49-03:00","2021-10-24",-55.8345833677,-34.7800664312,1000,"diego_caballero",2513727,"Diego Caballero",1595,42374,43969,"cc-by-nc",2,"https://www.inaturalist.org/observations/99493818","Canelones","primavera"
"Carpobrotus edulis","species",2,"2021-10-25T23:37:43-03:00","2021-10-24",-55.836016,-34.7848066997,,"diego_caballero",2513727,"Diego Caballero",1595,42374,43969,"cc-by-nc",2,"https://www.inaturalist.org/observations/99417636","Canelones","primavera"
"Carpobrotus edulis","species",2,"2021-10-25T22:48:08-03:00","2021-10-25",-55.8291090997,-34.7807492,,"diego_caballero",2513727,"Diego Caballero",1595,42374,43969,"cc-by-nc",2,"https://www.inaturalist.org/observations/99413776","Canelones","primavera"
"Carpobrotus edulis","species",2,"2021-10-25T22:31:53-03:00","2021-10-24",-54.9832125804,-34.9139551704,4,"mattzarrr",2595924,"Matías Zarucki",2177,1163,3340,"cc-by-nc",2,"https://www.inaturalist.org/observations/99412637","Maldonado","primavera"
