id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_state_name,place_country_name,place_admin1_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name
42586824,2020-04-19 2:32:12 PM GMT-03:00,2020-04-19,2020-04-19 17:32:12 UTC,Brasilia,2595924,mattzarrr,Matías Zarucki,2020-04-19 17:32:43 UTC,2021-12-10 01:18:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/42586824,https://inaturalist-open-data.s3.amazonaws.com/photos/67625015/medium.jpeg,,"","",2,0,false,2,"20005 Departamento de Maldonado, Uruguay",-34.91262771,-54.98996623,9,,,,9,,,false,,,Maldonado,Uruguay,Maldonado,planta de hielo,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
43691254,2020-04-26 3:43:43 PM GMT-03:00,2020-04-26,2020-04-26 18:43:43 UTC,Brasilia,2595924,mattzarrr,Matías Zarucki,2020-04-26 18:44:04 UTC,2023-02-21 15:01:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/43691254,https://inaturalist-open-data.s3.amazonaws.com/photos/69302793/medium.jpeg,,"",,2,1,false,2,"Pine Beach, 20100 Punta del Este, Departamento de Maldonado, Uruguay",-34.95081369,-54.940518,7,,,,7,,,false,,,Maldonado,Uruguay,Maldonado,sea fig,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
44782720,2020-05-03 4:54:30 PM GMT-03:00,2020-05-03,2020-05-03 19:54:30 UTC,Brasilia,2595924,mattzarrr,Matías Zarucki,2020-05-03 19:55:11 UTC,2021-12-10 01:18:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/44782720,https://inaturalist-open-data.s3.amazonaws.com/photos/70992752/medium.jpeg,,"","",2,0,false,2,"20005 Departamento de Maldonado, Uruguay",-34.91563352,-54.98004558,6,,,,6,,,false,,,Maldonado,Uruguay,Maldonado,planta de hielo,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
44843908,Sun May 03 2020 15:15:10 GMT-0300 (GMT-3),2020-05-03,2020-05-03 18:15:10 UTC,Brasilia,2398513,gabriellaufer,Gabriel Laufer,2020-05-04 04:37:21 UTC,2021-12-14 11:05:39 UTC,research,CC0,https://www.inaturalist.org/observations/44843908,https://inaturalist-open-data.s3.amazonaws.com/photos/71092267/medium.jpg,,"",,2,0,false,3,"Carlos Páez Vilaró, Sección 01, Maldonado, UY",-34.9149685145,-55.047045323,4,,,,4,,,false,,,Maldonado,Uruguay,Maldonado,sea fig,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
47125100,Sun May 24 2020 12:30:10 GMT-0300 (GMT-3),2020-05-24,2020-05-24 15:30:10 UTC,Brasilia,2398513,gabriellaufer,Gabriel Laufer,2020-05-24 15:30:43 UTC,2021-12-14 11:05:39 UTC,research,CC0,https://www.inaturalist.org/observations/47125100,https://inaturalist-open-data.s3.amazonaws.com/photos/74737160/medium.jpg,,"",,1,0,false,3,"Ruta Interbalnearia General Líber Seregni, Sección 01, Maldonado, UY",-34.9095699098,-55.0127979529,16,,,,16,,,false,,,Maldonado,Uruguay,Maldonado,planta de hielo,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
47125259,Sun May 24 2020 12:31:18 GMT-0300 (GMT-3),2020-05-24,2020-05-24 15:31:18 UTC,Brasilia,2398513,gabriellaufer,Gabriel Laufer,2020-05-24 15:31:41 UTC,2021-12-14 11:05:39 UTC,research,CC0,https://www.inaturalist.org/observations/47125259,https://inaturalist-open-data.s3.amazonaws.com/photos/74737398/medium.jpg,,"",,2,0,false,3,"Ruta Interbalnearia General Líber Seregni, Sección 01, Maldonado, UY",-34.909718578,-55.0129603253,16,,,,16,,,false,,,Maldonado,Uruguay,Maldonado,planta de hielo,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
51014843,Fri Jun 26 2020 16:05:56 GMT-0300 (GMT-3),2020-06-26,2020-06-26 19:05:56 UTC,Brasilia,2398513,gabriellaufer,Gabriel Laufer,2020-06-26 19:06:45 UTC,2021-12-14 11:05:39 UTC,research,CC0,https://www.inaturalist.org/observations/51014843,https://inaturalist-open-data.s3.amazonaws.com/photos/81032654/medium.jpg,,"",,3,0,false,3,"Ute 3, Sección 05, Rocha, UY",-34.0481783208,-53.539507737,16,,,,16,,,false,,,Rocha,Uruguay,Rocha,planta de hielo,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
51015314,Fri Jun 26 2020 16:10:19 GMT-0300 (GMT-3),2020-06-26,2020-06-26 19:10:19 UTC,Brasilia,2398513,gabriellaufer,Gabriel Laufer,2020-06-26 19:10:42 UTC,2021-12-14 11:05:39 UTC,research,CC0,https://www.inaturalist.org/observations/51015314,https://inaturalist-open-data.s3.amazonaws.com/photos/81040238/medium.jpg,,"",,2,0,false,3,"Sección 05, Sección 05, Rocha, UY",-34.0482921972,-53.5410614418,12,,,,12,,,false,,,Rocha,Uruguay,Rocha,planta de hielo,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
54402909,Sun Jul 26 2020 12:17:39 GMT-0300 (GMT-3),2020-07-26,2020-07-26 15:17:39 UTC,Brasilia,2398513,gabriellaufer,Gabriel Laufer,2020-07-26 15:18:07 UTC,2021-12-14 11:05:39 UTC,research,CC0,https://www.inaturalist.org/observations/54402909,https://inaturalist-open-data.s3.amazonaws.com/photos/86563494/medium.jpg,,"",,1,0,false,3,"Sección 01, Sección 01, Maldonado, UY",-34.8926790096,-55.0407406309,96,,,,96,,,false,,,Maldonado,Uruguay,Maldonado,planta de hielo,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
55727449,2020/07/25 3:28 PM -0300,2020-07-25,2020-07-25 18:28:00 UTC,Montevideo,2697822,osvaldo-1947,Osvaldo Montañez,2020-08-07 19:38:56 UTC,2020-08-10 09:46:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/55727449,https://inaturalist-open-data.s3.amazonaws.com/photos/88755024/medium.jpg,,"",,2,0,false,,"Salinas, Departamento de Canelones, Uruguay",-34.7842879722,-55.837333,,,,,,,,false,,,Canelones,Uruguay,Canelones,planta de hielo,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
